Galaxy,V_inf,L_e,chi2_red
UGC05721,76.40815297096877,0.8356038492062949,0.5754268262225641
NGC3917,121.73144345368794,4.482484966251238,0.9926069526459068
KK98-251,41.275579228425784,3.001709057772447,0.26985574208207574
UGC07577,499.99999999985266,78.3411082517539,0.12692009316615557
NGC3109,75.77938804424511,4.1616871073835755,0.2158987842866347
NGC5055,160.0081150678553,14.197956149733484,20.80793884722942
UGC02259,79.30075001365886,1.2164141867932838,0.7569645855667279
UGC00128,121.18320232755147,6.32683724604635,3.508212675018901
UGC05918,40.604621779733286,1.3546191192510972,0.02807522641523917
NGC3949,199.6149398278175,10.006677759841828,0.43882405797011304
UGC05253,200.97179419251714,8.106949813543414,2.4438230861955295
NGC3953,147.73886399814518,2.8745592486972305,0.20068890652898386
NGC2976,100.64126915879143,2.768382855215865,0.2937107501307509
F561-1,30.103398573521368,1.7270032553466643,0.41369755975521055
F565-V2,89.01977031749587,5.074672398343963,0.042691832376345246
NGC6195,210.52787127038067,25.25411457330533,2.1846976160251037
F563-V1,16.154110979460494,1.7263923858446346,0.21706500543105
F568-3,109.16647342676382,6.224710956619484,0.8902595001373514
NGC3521,171.38188611118244,5.160407826550629,0.8230434044277103
PGC51017,10.000000000001732,3.996986628083893,2.1717487700411713
NGC4157,172.55950636330547,15.351840051454175,0.39272341569976876
NGC3992,208.92602491103798,3.5840664371324946,0.47813957566789006
NGC4051,88.89591572156299,2.765062934290529,0.6843737568976282
UGC06614,208.28013783323084,26.285219340249775,0.19812660044786315
UGC07866,27.527043746585782,0.9329904616461436,0.06707230628347553
ESO079-G014,165.41014229180337,7.675716955683758,0.9088412849406139
UGC01281,63.538780856778985,3.0892067877747746,0.0831731938582889
NGC1705,67.30104329884847,0.3056902463570754,0.14285224922294043
NGC4085,271.127890041704,17.551794482452948,4.532927775972745
UGC04325,84.98614505213706,1.2423135738024218,0.6479964967984578
NGC0055,84.37029886887336,6.4259656703373045,0.3942409974021575
UGC02953,233.4018236865337,4.923647355299845,4.270100251209046
IC2574,74.3103912026837,8.887751553785016,3.0627363199563944
IC4202,197.22389447314092,6.94530838581639,31.869875208516266
UGC06446,74.95960199864633,1.5909549959403264,0.2889473218731323
UGC06667,86.81282066162456,2.9234353307740784,0.13194272224686948
NGC3893,153.38809416491824,4.763476008906785,0.3743508472976021
F574-1,93.06518963168305,3.2606418322235577,0.09620367016598852
NGC0891,206.37944919036374,14.467760307263651,14.141854124186505
NGC0801,155.93105692907565,3.1250128313996846,7.39058477444365
NGC4013,156.9405087147731,9.862400516134842,1.6741163922296305
NGC4217,499.9999999998363,59.82416902537033,33.69169678405288
UGC05986,114.5924663941628,3.158923570796007,0.9251301177160549
NGC5005,272.6466063678643,14.035203044053597,0.42003172389752774
UGC06983,100.19149679899319,2.7881649356760625,0.3786308990245582
UGC02455,10.000004563785124,99.99999712344021,31.351549871942286
NGC4010,123.77838199112789,6.6454530952101685,1.420744986343441
UGC06786,206.53805367610124,4.934849871863821,1.8551702817850992
UGC12732,81.1166725519379,3.1855314188594797,0.9899990533410393
NGC0024,100.05392058005233,1.1691094657214187,0.3011743007932286
UGC06818,150.31681348742174,13.118054739946455,1.165080084903176
UGC03205,175.31188517531163,2.4063879453344525,2.6486768204707416
ESO444-G084,63.60035319961986,1.3960274925496021,1.923051366037661
NGC3198,134.25257251040068,5.497898010528795,0.7909332927289557
UGC07323,86.75267754991759,4.574620221133295,0.3251609911029847
UGC07399,96.28291452146765,1.3486404709757074,0.45918843523337477
UGC06917,99.04856346347773,3.445418343229953,0.1704253072170155
UGCA442,58.144226278074925,2.6726927099351383,0.7745607203263795
NGC0300,91.9915091365346,3.493518840010006,0.5524211483483615
